V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
13.75,,3.0,2016,2016,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.69,,4.4,2016,2016,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29265.0,,6.7,2016,2016,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
30628.0,,5.8,2017,2017,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.0,,4.3,2017,2017,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
28962.0,,4.2,2017,2017,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
26399.0,,5.4,2017,2017,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.45,,2.9,2017,2017,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
28675.0,,7.8,2017,2017,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.74,,3.9,2017,2017,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
25177.0,,6.6,2017,2017,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.52,,4.5,2017,2017,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.49,,5.1,2017,2017,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27282.0,,5.7,2017,2017,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.51,,3.4,2017,2017,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
26507.0,,20.0,2018,2018,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
32551.0,,6.5,2018,2018,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
30035.0,,9.3,2018,2018,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.1,,4.2,2018,2018,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.63,,3.1,2018,2018,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.98,,4.2,2018,2018,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
,x,25.0,2018,2018,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
28834.0,,7.2,2018,2018,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
27516.0,,11.0,2018,2018,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.87,,4.6,2018,2018,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.27,,4.7,2018,2018,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.51,,3.4,2018,2018,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
11.52,,3.2,2016,2016,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
26158.0,,3.6,2016,2016,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
22008.0,,3.9,2016,2016,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
28756.0,,4.5,2016,2016,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
21781.0,,5.1,2016,2016,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
12.66,,2.4,2016,2016,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.29,,3.2,2016,2016,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
,x,26.0,2016,2016,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.91,,8.6,2016,2016,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
15.3,,12.0,2016,2016,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
30524.0,,19.0,2016,2016,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
11.29,,4.3,2016,2016,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
23379.0,,5.9,2017,2017,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.92,,12.0,2017,2017,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29738.0,,4.5,2017,2017,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.88,,3.0,2017,2017,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
27266.0,,3.9,2017,2017,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.36,,2.4,2017,2017,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
12.46,,3.6,2017,2017,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.6,,8.0,2017,2017,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
23614.0,,7.5,2017,2017,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
12.41,,4.5,2017,2017,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
,x,25.0,2017,2017,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
32184.0,,18.0,2017,2017,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
23521.0,,4.2,2018,2018,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
29312.0,,6.5,2018,2018,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
27087.0,,4.9,2018,2018,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.56,,2.7,2018,2018,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.02,,3.7,2018,2018,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
12.78,,3.5,2018,2018,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
23622.0,,6.1,2018,2018,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
,x,30.0,2018,2018,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
,x,23.0,2018,2018,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
12.97,,4.5,2018,2018,E08000008,Tameside,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.28,,13.0,2018,2018,E08000008,Tameside,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
15.12,,9.2,2018,2018,E08000008,Tameside,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27562.0,,3.9,2016,2016,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
25964.0,,3.9,2016,2016,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
31909.0,,3.7,2016,2016,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.07,,3.0,2016,2016,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
12.97,,3.9,2016,2016,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29481.0,,2.8,2016,2016,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.44,,5.1,2016,2016,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.8,,3.4,2016,2016,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29747.0,,5.7,2016,2016,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.15,,3.1,2016,2016,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.33,,2.3,2016,2016,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
25097.0,,4.7,2016,2016,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
29384.0,,3.9,2017,2017,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
31608.0,,6.2,2017,2017,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.32,,2.9,2017,2017,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
26368.0,,3.8,2017,2017,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.08,,4.5,2017,2017,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.97,,3.0,2017,2017,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
29684.0,,6.4,2017,2017,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
25492.0,,5.0,2017,2017,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
27856.0,,4.4,2017,2017,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.78,,2.2,2017,2017,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.85,,3.1,2017,2017,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.52,,3.7,2017,2017,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27029.0,,4.1,2018,2018,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
33736.0,,3.8,2018,2018,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
31015.0,,2.9,2018,2018,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.88,,3.1,2018,2018,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.14,,3.0,2018,2018,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
15.27,,2.3,2018,2018,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
26255.0,,5.2,2018,2018,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
30488.0,,5.2,2018,2018,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
28731.0,,3.8,2018,2018,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.33,,3.7,2018,2018,E08000010,Wigan,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.58,,4.3,2018,2018,E08000010,Wigan,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.07,,3.0,2018,2018,E08000010,Wigan,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
28596.0,,6.3,2016,2016,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.81,,4.0,2016,2016,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
30845.0,,8.1,2016,2016,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.95,,5.1,2016,2016,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
25177.0,,9.2,2016,2016,E08000004,Oldham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
30522.0,,6.6,2016,2016,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
12.25,,5.0,2016,2016,E08000004,Oldham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.86,,5.0,2016,2016,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27156.0,,5.1,2016,2016,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.25,,3.7,2016,2016,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
22035.0,,6.4,2016,2016,E08000004,Oldham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.56,,6.3,2016,2016,E08000004,Oldham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.05,,3.8,2017,2017,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.21,,6.2,2017,2017,E08000004,Oldham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
28557.0,,6.2,2017,2017,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
29081.0,,6.3,2017,2017,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.6,,4.6,2017,2017,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
26611.0,,11.0,2017,2017,E08000004,Oldham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.96,,4.7,2017,2017,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
30656.0,,7.7,2017,2017,E08000004,Oldham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
26709.0,,5.0,2017,2017,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.26,,3.6,2017,2017,E08000004,Oldham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
